Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Journey_Day,Journey_Month,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min
4,2,1,1355,0,5,10262.0,24,6,14,0,12,35
4,0,2,185,4,8,8016.0,9,6,18,55,22,0
8,3,0,160,4,7,4781.0,24,3,6,55,9,35
10,0,2,170,4,8,4668.0,27,6,11,30,14,20
1,0,5,1265,0,8,14594.0,6,3,11,50,8,55
4,3,0,710,0,8,14231.0,24,3,16,55,4,45
1,2,1,1535,0,8,8425.0,15,5,5,15,6,50
6,2,1,925,0,8,9646.0,12,6,7,5,22,30
3,1,4,145,4,8,7295.0,3,3,14,40,17,5
0,3,0,220,0,8,5162.0,9,4,6,50,10,30
3,0,5,175,4,8,6860.0,9,3,18,25,21,20
10,2,1,190,4,8,6216.0,15,4,6,0,9,10
0,3,0,710,0,8,5192.0,24,5,7,35,19,25
3,0,2,170,4,8,4823.0,9,4,20,0,22,50
8,0,2,170,4,7,3919.0,3,4,9,30,12,20
3,4,3,90,4,8,2754.0,3,6,19,5,20,35
6,2,1,690,0,8,9315.0,9,5,7,30,19,0
6,2,1,530,0,8,11667.0,27,3,10,0,18,50
4,3,0,1215,0,5,6224.0,12,6,8,25,4,40
1,3,0,1210,1,8,13349.0,24,3,9,25,5,35
4,0,5,965,0,5,11087.0,18,3,16,55,9,0
6,2,1,755,0,8,15603.0,6,3,13,0,1,35
4,2,1,1025,1,8,15129.0,9,5,19,30,12,35
3,0,2,180,4,8,4823.0,9,4,16,55,19,55
10,3,0,930,0,8,8452.0,1,5,7,10,22,40
6,2,1,690,0,8,12524.0,6,6,7,30,19,0
8,1,4,140,4,8,3384.0,27,3,17,45,20,5
4,2,1,1425,0,5,10262.0,1,6,19,15,19,0
8,4,3,90,4,7,1965.0,18,6,13,15,14,45
3,3,0,155,4,8,4804.0,18,5,22,15,0,50
4,2,1,1485,0,8,16079.0,27,5,18,15,19,0
4,2,1,1295,1,8,13292.0,1,6,21,25,19,0
0,2,1,330,0,8,6751.0,9,5,7,55,13,25
1,2,1,735,0,8,8669.0,15,5,7,0,19,15
3,2,1,485,0,8,14871.0,3,3,17,30,1,35
4,2,1,300,0,5,12898.0,21,5,14,0,19,0
8,0,2,170,4,7,3919.0,6,6,9,30,12,20
6,2,1,385,0,8,36983.0,1,3,12,50,19,15
3,1,4,140,4,8,3597.0,3,6,19,35,21,55
1,0,5,165,4,8,10741.0,9,3,17,0,19,45
1,3,0,765,1,8,11432.0,6,6,16,50,5,35
4,0,5,950,0,5,11087.0,12,3,18,55,10,45
4,2,1,1620,1,8,13292.0,3,6,9,35,12,35
1,2,1,1585,2,8,10493.0,15,6,5,15,7,40
2,0,5,175,4,8,7631.0,9,3,7,45,10,40
1,2,1,1490,1,8,13381.0,6,6,6,50,7,40
4,3,0,520,0,8,13731.0,6,6,20,0,4,40
1,2,1,1545,1,8,11911.0,21,5,5,55,7,40
3,0,2,170,4,8,4591.0,18,4,23,30,2,20
6,2,1,375,0,8,14848.0,3,6,13,0,19,15
6,2,1,630,0,8,8266.0,12,6,8,45,19,15
1,2,1,1560,1,8,12392.0,18,5,17,15,19,15
4,3,0,1025,0,8,13044.0,12,6,18,55,12,0
4,2,1,1280,0,5,12898.0,21,5,7,5,4,25
4,2,1,335,0,8,12242.0,21,3,22,50,4,25
3,0,2,170,4,8,3943.0,18,5,10,10,13,0
10,3,0,1550,0,8,11105.0,24,3,20,20,22,10
4,3,0,730,0,8,14388.0,12,5,21,10,9,20
4,2,1,1025,1,8,13014.0,18,5,19,30,12,35
6,2,1,510,0,8,15411.0,6,3,10,20,18,50
4,2,1,1385,0,8,16289.0,9,3,19,45,18,50
3,2,1,560,0,8,6442.0,15,5,6,50,16,10
4,3,0,475,0,5,10844.0,18,5,8,25,16,20
4,4,3,90,4,8,5678.0,18,5,10,20,11,50
3,0,2,170,4,8,6906.0,12,4,23,30,2,20
8,1,4,135,4,7,3543.0,21,5,9,45,12,0
4,2,1,600,0,8,14714.0,6,6,9,0,19,0
11,0,5,155,4,8,11793.0,3,3,16,0,18,35
6,2,1,465,0,8,14323.0,15,5,11,30,19,15
8,0,2,175,4,8,3971.0,9,4,21,10,0,5
10,3,0,1580,0,8,8452.0,6,5,20,20,22,40
10,0,2,160,4,8,5403.0,12,4,7,0,9,40
6,2,1,660,0,8,13727.0,9,5,10,0,21,0
1,3,0,1165,1,8,12639.0,1,4,10,0,5,25
4,0,2,175,4,5,5198.0,18,4,15,15,18,10
10,0,2,165,4,8,4878.0,1,6,19,30,22,15
4,2,1,1395,0,5,12373.0,18,5,19,45,19,0
6,2,1,540,0,5,8552.0,3,3,7,10,16,10
10,2,1,190,4,8,6741.0,21,4,14,40,17,50
6,2,1,385,0,8,6481.0,9,4,12,50,19,15
6,2,1,520,0,8,7354.0,6,6,10,35,19,15
1,0,2,170,4,8,5228.0,21,4,21,5,23,55
4,3,0,740,0,5,10844.0,12,5,8,25,20,45
3,2,1,320,0,8,6347.0,18,5,6,50,12,10
1,0,5,240,0,8,5013.0,15,3,8,15,12,15
4,3,0,585,0,5,9663.0,9,6,18,55,4,40
3,0,2,175,4,8,4823.0,6,4,18,25,21,20
1,2,1,1580,1,8,13381.0,24,6,16,55,19,15
8,1,4,135,4,7,3543.0,1,6,9,45,12,0
4,3,0,585,0,5,9663.0,15,5,18,55,4,40
4,3,0,1495,0,5,7064.0,1,4,18,55,19,50
4,2,1,715,0,5,10262.0,9,6,7,5,19,0
1,2,1,500,1,8,13013.0,1,6,10,55,19,15
4,2,1,1045,1,8,15339.0,27,6,19,10,12,35
2,0,2,170,4,8,4937.0,18,4,11,40,14,30
3,2,1,425,0,8,6818.0,6,6,5,5,12,10
1,2,1,1275,1,8,10441.0,18,5,22,0,19,15
4,2,1,300,0,5,5177.0,3,4,14,0,19,0
3,1,4,145,4,8,3858.0,27,6,11,35,14,0
3,3,0,315,0,8,6534.0,18,5,21,0,2,15
6,2,1,910,0,8,6795.0,15,6,10,20,1,30
6,2,1,705,0,8,9736.0,3,6,7,30,19,15
4,0,2,180,4,8,7229.0,1,5,19,50,22,50
8,2,1,295,0,8,4957.0,24,4,17,55,22,50
3,0,5,165,4,8,7648.0,9,3,6,0,8,45
8,3,0,150,4,8,3873.0,15,6,14,55,17,25
4,3,0,585,0,8,14388.0,12,5,18,55,4,40
3,3,0,160,4,8,5618.0,6,3,17,15,19,55
6,2,1,390,0,8,7408.0,9,6,19,0,1,30
0,2,1,330,0,8,13774.0,3,3,16,45,22,15
10,0,2,160,4,8,4668.0,3,5,7,0,9,40
4,2,1,2045,1,8,13082.0,21,3,18,20,4,25
1,2,1,925,0,8,8669.0,3,6,3,50,19,15
3,2,1,570,0,8,6316.0,24,6,16,0,1,30
